Date,Open,High,Low,Close,Volume,Adj Close
2011-12-08 00:00:00,77.67,77.67,77.67,77.67,1000000,77.67
2011-12-09 00:00:00,77.58,77.58,77.58,77.58,1000000,77.58
2011-12-12 00:00:00,77.87,77.87,77.87,77.87,1000000,77.87
2011-12-13 00:00:00,77.86,77.86,77.86,77.86,1000000,77.86
2011-12-14 00:00:00,78.08,78.08,78.08,78.08,1000000,78.08
2011-12-15 00:00:00,77.87,77.87,77.87,77.87,1000000,77.87
2011-12-16 00:00:00,77.65,77.65,77.65,77.65,1000000,77.65
2011-12-19 00:00:00,77.96,77.96,77.96,77.96,1000000,77.96
2011-12-20 00:00:00,77.76,77.76,77.76,77.76,1000000,77.76
2011-12-21 00:00:00,78.0,78.0,78.0,78.0,1000000,78.0
2011-12-22 00:00:00,78.13,78.13,78.13,78.13,1000000,78.13
2011-12-23 00:00:00,78.13,78.13,78.13,78.13,1000000,78.13
2011-12-27 00:00:00,77.83,77.83,77.83,77.83,1000000,77.83
2011-12-28 00:00:00,77.98,77.98,77.98,77.98,1000000,77.98
